method,selection_mode,num_seeds,mean_test_sum_rate,std_test_sum_rate,min_test_sum_rate,max_test_sum_rate,wins_vs_random
cnn,hard,1,19.079668197631836,0.0,19.079668197631836,19.079668197631836,0
llm_sequential,hard,1,19.1355428314209,0.0,19.1355428314209,19.1355428314209,1
proposed,hard,1,19.135345458984375,0.0,19.135345458984375,19.135345458984375,1
random,hard,1,19.093992233276367,0.0,19.093992233276367,19.093992233276367,0
transformer,hard,1,19.427757415771485,0.0,19.427757415771485,19.427757415771485,1
