method,selection_mode,num_seeds,mean_test_sum_rate,std_test_sum_rate,min_test_sum_rate,max_test_sum_rate,wins_vs_random
cnn,hard,3,24.07460099283854,0.03568804239884234,24.045100830078123,24.114269775390625,2
llm_sequential,hard,3,24.181342610677085,0.0989146818494074,24.077115478515626,24.27391162109375,3
proposed,hard,3,24.181340738932292,0.09891443985040235,24.07711328125,24.27390869140625,3
random,hard,3,24.085665384928387,0.037544306753925574,24.042438507080078,24.11013412475586,0
transformer,hard,3,24.10503458658854,0.04338257910030587,24.05638623046875,24.139705322265623,2
