method,selection_mode,num_seeds,mean_test_sum_rate,std_test_sum_rate,min_test_sum_rate,max_test_sum_rate,wins_vs_random
proposed,hard,1,19.915165424346924,0.0,19.915165424346924,19.915165424346924,1
random,hard,1,19.109169006347656,0.0,19.109169006347656,19.109169006347656,0
