method,selection_mode,num_seeds,mean_test_sum_rate,std_test_sum_rate,min_test_sum_rate,max_test_sum_rate,wins_vs_random
cnn,hard,3,23.776967041015624,0.03573814184336982,23.7474580078125,23.8167041015625,2
llm_sequential,hard,3,23.883494791666667,0.098610180523845,23.77957861328125,23.9757646484375,3
proposed,hard,3,23.883493245442708,0.09861188280072616,23.77957421875,23.97576318359375,3
random,hard,3,23.788041432698567,0.03737775936486046,23.745012283325195,23.81246566772461,0
transformer,hard,3,23.8072626953125,0.04332609641948932,23.7586884765625,23.8419208984375,2
