method,selection_mode,num_seeds,mean_test_sum_rate,std_test_sum_rate,min_test_sum_rate,max_test_sum_rate,wins_vs_random
proposed,hard,3,19.323712895711264,0.06723178045609907,19.26773422241211,19.398284454345703,2
random,hard,3,19.24541409810384,0.18673858036009944,19.102201461791992,19.456623077392578,0
