method,selection_mode,num_seeds,mean_test_sum_rate,std_test_sum_rate,min_test_sum_rate,max_test_sum_rate,wins_vs_random
cnn,hard,1,19.40806785583496,0.0,19.40806785583496,19.40806785583496,0
llm_sequential,hard,1,19.03177101135254,0.0,19.03177101135254,19.03177101135254,0
proposed,hard,1,19.03191879272461,0.0,19.03191879272461,19.03191879272461,0
random,hard,1,19.47779083251953,0.0,19.47779083251953,19.47779083251953,0
transformer,hard,1,19.473504943847658,0.0,19.473504943847658,19.473504943847658,0
